Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
1/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
2/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
5/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
6/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
7/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
8/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
9/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
12/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
13/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
14/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
15/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
16/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
19/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
20/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
21/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
22/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
23/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
26/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
27/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
28/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
29/08/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
30/08/1996,null,null,null,null,null,null,7,5.25,66.9
2/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
3/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
4/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
5/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
6/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
9/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
10/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
11/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
12/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
13/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
16/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
17/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
18/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
19/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
20/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
23/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
24/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
25/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
26/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
27/09/1996,0.795,0.795,0.795,0.795,0.420247,0,7,5.25,66.9
30/09/1996,null,null,null,null,null,null,7,5.25,66.9
1/10/1996,0.8875,0.8875,0.8875,0.8875,0.469144,0,7,5.25,67
2/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
3/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
4/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
7/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
8/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
9/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
10/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
11/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
14/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
15/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
16/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
17/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
18/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
21/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
22/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
23/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
24/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
25/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
28/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
29/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
30/10/1996,0.8875,0.8875,0.8875,0.8875,0.476497,0,7,5.25,67
31/10/1996,null,null,null,null,null,null,7,5.25,67
1/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,7,5.25,67
4/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,7,5.25,67
5/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,7,5.25,67
6/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
7/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
8/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
11/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
12/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
13/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
14/11/1996,0.9375,0.9375,0.9375,0.9375,0.503342,0,6.5,5.25,67
