Date,Open,High,Low,Close,Adj Close,Volume,SENTIMENT,RBA,FED
3/01/2000,8.317775,8.317775,8.317775,8.317775,3.59832,0,POSITIVE,4.98,5.87
4/01/2000,8.317359,8.620943,8.317359,8.608466,3.724075,9525499,NEGATIVE,4.98,5.87
5/01/2000,8.404691,8.462913,8.300724,8.408018,3.63736,8727404,POSITIVE,4.98,5.87
6/01/2000,8.425485,8.56688,8.425485,8.462913,3.661107,7274950,POSITIVE,4.98,5.87
7/01/2000,8.487449,8.941161,8.483706,8.88086,3.841914,15832421,POSITIVE,4.98,5.87
10/01/2000,8.899574,9.153254,8.795607,8.949478,3.871599,12044704,NEGATIVE,4.98,5.87
11/01/2000,8.862978,8.878781,8.633419,8.69164,3.760057,12222239,NEGATIVE,4.98,5.87
12/01/2000,8.525293,8.62926,8.462913,8.519887,3.685755,6259462,NEGATIVE,4.98,5.87
13/01/2000,8.299477,8.608466,8.292407,8.482874,3.669743,11164168,POSITIVE,4.98,5.87
14/01/2000,8.483706,8.583514,8.342311,8.528204,3.689354,7931625,NEGATIVE,4.98,5.87
17/01/2000,8.512817,8.521134,8.358946,8.440872,3.651573,5132951,NEGATIVE,4.98,5.87
18/01/2000,8.317359,8.400532,8.300724,8.317359,3.598141,6174570,NEGATIVE,4.98,5.87
19/01/2000,8.317359,8.317359,8.113584,8.140199,3.5215,4843974,POSITIVE,4.98,5.87
20/01/2000,8.321102,8.421326,8.279931,8.355203,3.614512,15713152,NEGATIVE,4.98,5.87
21/01/2000,8.27702,8.27702,8.084473,8.14311,3.522759,5395565,NEGATIVE,4.98,5.87
24/01/2000,8.113168,8.192599,8.047045,8.063679,3.488397,4757007,POSITIVE,4.98,5.87
25/01/2000,7.904402,8.083225,7.901491,8.083225,3.496854,7641817,POSITIVE,4.98,5.87
26/01/2000,null,null,null,null,null,null,NEGATIVE,4.98,5.87
27/01/2000,8.008785,8.067838,7.913967,7.984665,3.454215,10660200,NEGATIVE,4.98,5.87
28/01/2000,7.943078,8.013775,7.859904,7.901491,3.418233,15926763,NEGATIVE,4.98,5.87
31/01/2000,7.782553,7.822476,7.68524,7.795445,3.372358,8589276,NEGATIVE,4.98,5.87
1/02/2000,7.827466,7.839111,7.672764,7.67609,3.320723,6899742,POSITIVE,5.46,5.85
2/02/2000,7.672764,7.943078,7.672764,7.776731,3.364261,9278144,NEGATIVE,5.46,5.85
3/02/2000,7.789622,7.880698,7.556321,7.693557,3.32828,10744960,NEGATIVE,5.46,5.85
4/02/2000,7.693557,7.797524,7.610383,7.618701,3.295897,8072963,POSITIVE,5.46,5.85
7/02/2000,7.572123,7.880698,7.568797,7.819981,3.382972,6800177,POSITIVE,5.46,5.85
8/02/2000,7.776731,7.922284,7.776731,7.901491,3.418233,5320895,NEGATIVE,5.46,5.85
9/02/2000,7.901491,7.901491,7.610383,7.631177,3.301294,7088980,NEGATIVE,5.46,5.85
10/02/2000,7.52721,7.52721,7.277689,7.312206,3.163304,22098314,NEGATIVE,5.46,5.85
11/02/2000,7.35005,7.402449,7.277689,7.290165,3.15377,11224427,NEGATIVE,5.46,5.85
14/02/2000,7.237766,7.277689,7.098866,7.119659,3.080008,12149697,POSITIVE,5.46,5.85
15/02/2000,7.15584,7.423243,7.14877,7.402449,3.202346,7684561,NEGATIVE,5.46,5.85
16/02/2000,7.530537,7.610383,7.05312,7.111342,3.07641,11781614,NEGATIVE,5.46,5.85
17/02/2000,7.197426,7.215309,7.032327,7.07433,3.060398,15873405,NEGATIVE,5.46,5.85
18/02/2000,6.986581,7.007375,6.799441,6.903408,2.986457,12319354,POSITIVE,5.46,5.85
21/02/2000,6.808174,7.127977,6.808174,7.090548,3.067415,5465222,NEGATIVE,5.46,5.85
22/02/2000,7.126313,7.152929,6.882614,6.989908,3.023878,8149586,NEGATIVE,5.46,5.85
23/02/2000,7.007375,7.069755,6.799441,6.799441,2.94148,7467235,POSITIVE,5.46,5.85
24/02/2000,6.820234,7.019851,6.820234,7.003216,3.029634,7881667,NEGATIVE,5.46,5.85
25/02/2000,7.059358,7.103024,6.861821,6.967867,3.014342,13769430,NEGATIVE,5.46,5.85
28/02/2000,6.965788,6.965788,6.624776,6.703791,2.900102,7606267,NEGATIVE,5.46,5.85
29/02/2000,6.77033,6.77033,6.587348,6.692147,2.895064,9841267,POSITIVE,5.46,5.85
1/03/2000,6.691315,6.861821,6.67468,6.737061,2.914495,10613577,POSITIVE,5.49,6.17
