Date,Open,High,Low,Close,Adj Close,Volume
21/11/2018,12.49,13.37,12.3,12.75,11.553782,8752527
22/11/2018,12.85,12.91,12.21,12.75,11.553782,5673815
23/11/2018,12.75,12.85,12.62,12.84,11.635339,5474121
26/11/2018,12.84,13.3,12.72,13.11,11.880008,5085525
27/11/2018,13.05,13.13,12.75,12.89,11.680649,6747945
28/11/2018,12.12,12.74,12.06,12.7,11.508474,10082053
29/11/2018,12.56,12.66,12.25,12.39,11.227559,8038728
30/11/2018,12.02,12.17,11.71,11.71,10.611357,15507962
3/12/2018,11.53,11.64,11.26,11.62,10.529799,7041600
4/12/2018,11.4,11.59,11.4,11.49,10.411996,10601215
5/12/2018,11.35,12.08,11.34,11.82,10.711036,8646218
6/12/2018,11.55,12.13,11.55,12.1,10.964768,4583350
7/12/2018,12.05,12.78,12.03,12.6,11.417856,9192109
10/12/2018,12.46,12.585,12.33,12.49,11.318176,5910984
11/12/2018,12.27,12.415,12.1,12.41,11.245683,5395786
12/12/2018,12.37,12.45,12.1,12.23,11.08257,7801056
13/12/2018,12.22,12.3,11.99,12.1,10.964768,3975657
14/12/2018,11.81,11.89,11.71,11.72,10.620419,5113674
17/12/2018,11.65,12.09,11.61,11.93,10.810716,4120952
18/12/2018,11.78,12.035,11.71,11.72,10.620419,3725823
19/12/2018,11.61,11.835,11.56,11.82,10.711036,4364977
20/12/2018,12,12.28,11.85,12.05,10.919457,6923134
21/12/2018,12,12.125,11.46,11.61,10.520738,6351418
24/12/2018,11.49,11.7,11.34,11.7,10.602294,1445445
27/12/2018,11.8,11.84,11.65,11.77,10.665728,2216127
28/12/2018,11.7,12,11.7,12,10.874149,1605489
31/12/2018,12,12.04,11.74,11.74,10.638542,1333311
2/01/2019,11.75,11.88,11.71,11.71,10.611357,1098216
3/01/2019,11.71,12,11.71,11.99,10.865088,1599882
4/01/2019,11.81,11.88,11.71,11.81,10.701974,2127786
7/01/2019,11.91,11.98,11.65,11.71,10.611357,2266452
8/01/2019,11.6,11.77,11.46,11.72,10.620419,3262339
9/01/2019,11.76,11.85,11.67,11.85,10.738222,3009235
10/01/2019,11.92,11.95,11.57,11.66,10.566047,4299196
11/01/2019,11.6,11.68,11.5,11.53,10.448243,3018688
