Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
3/01/2000,0.867308,0.867308,0.867308,0.867308,0.867308,0,5,5.5,69.7
4/01/2000,0.841798,0.867308,0.841798,0.841798,0.841798,50001,5,5.5,69.7
5/01/2000,0.816289,0.816289,0.79078,0.816289,0.816289,11210,5,5.5,69.7
6/01/2000,0.816289,0.867308,0.816289,0.816289,0.816289,26319,5,5.5,69.7
7/01/2000,0.816289,0.841798,0.816289,0.816289,0.816289,35477,5,5.5,69.7
10/01/2000,0.79078,0.79078,0.79078,0.79078,0.79078,9408,5,5.5,69.7
11/01/2000,0.816289,0.867308,0.816289,0.867308,0.867308,12740,5,5.5,69.7
12/01/2000,0.867308,0.867308,0.79078,0.79078,0.79078,4704,5,5.5,69.7
13/01/2000,0.892817,0.892817,0.892817,0.892817,0.892817,1960,5,5.5,69.7
14/01/2000,0.867308,0.892817,0.867308,0.892817,0.892817,32481,5,5.5,69.7
17/01/2000,0.867308,0.918326,0.867308,0.892817,0.892817,25242,5,5.5,69.7
18/01/2000,0.892817,0.918326,0.892817,0.892817,0.892817,27656,5,5.5,69.7
19/01/2000,0.867308,0.867308,0.841798,0.867308,0.867308,7644,5,5.5,69.7
20/01/2000,0.867308,0.867308,0.841798,0.867308,0.867308,11172,5,5.5,69.7
21/01/2000,0.867308,0.867308,0.79078,0.79078,0.79078,26155,5,5.5,69.7
24/01/2000,0.816289,0.841798,0.816289,0.841798,0.841798,16552,5,5.5,69.7
25/01/2000,0.816289,0.841798,0.816289,0.841798,0.841798,12544,5,5.5,69.7
26/01/2000,0.841798,0.841798,0.841798,0.841798,0.841798,0,5,5.5,69.7
27/01/2000,0.816289,0.841798,0.816289,0.816289,0.816289,14771,5,5.5,69.7
28/01/2000,0.816289,0.841798,0.816289,0.841798,0.841798,25265,5,5.5,69.7
31/01/2000,0.841798,0.918326,0.841798,0.918326,0.918326,75831,5,5.5,69.7
1/02/2000,0.979547,1.147907,0.969344,1.122398,1.122398,170024,5,5.75,69.7
2/02/2000,1.173416,1.173416,1.122398,1.147907,1.147907,142144,5.5,5.75,69.7
3/02/2000,1.122398,1.198925,1.122398,1.198925,1.198925,120209,5.5,5.75,69.7
4/02/2000,1.224434,1.249943,1.173416,1.249943,1.249943,102905,5.5,5.75,69.7
7/02/2000,1.275452,1.377489,1.249943,1.377489,1.377489,121066,5.5,5.75,69.7
8/02/2000,1.377489,1.377489,1.275452,1.275452,1.275452,43905,5.5,5.75,69.7
9/02/2000,1.275452,1.428507,1.275452,1.428507,1.428507,109308,5.5,5.75,69.7
10/02/2000,1.428507,1.479525,1.428507,1.479525,1.479525,65802,5.5,5.75,69.7
