Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
28/07/2006,1.2,1.2,1.12,1.14,0.618405,765569,5.75,5.25,86.7
31/07/2006,1.15,1.15,1.12,1.15,0.62383,330500,5.75,5.25,86.7
1/08/2006,1.15,1.15,1.13,1.15,0.62383,219500,5.75,5.25,86.7
2/08/2006,1.15,1.15,1.14,1.15,0.62383,287700,6,5.25,86.7
3/08/2006,1.19,1.195,1.175,1.195,0.64824,57972,6,5.25,86.7
4/08/2006,1.2,1.22,1.19,1.22,0.661802,227580,6,5.25,86.7
7/08/2006,1.24,1.27,1.23,1.25,0.678076,178496,6,5.25,86.7
8/08/2006,1.25,1.28,1.25,1.28,0.694349,134217,6,5.25,86.7
9/08/2006,1.3,1.34,1.3,1.3,0.705199,97237,6,5.25,86.7
10/08/2006,1.3,1.3,1.28,1.3,0.705199,58150,6,5.25,86.7
11/08/2006,1.3,1.35,1.3,1.35,0.732322,173650,6,5.25,86.7
14/08/2006,1.35,1.4,1.35,1.36,0.737746,87500,6,5.25,86.7
15/08/2006,1.36,1.36,1.34,1.35,0.732322,53670,6,5.25,86.7
16/08/2006,1.34,1.34,1.3,1.31,0.710623,23250,6,5.25,86.7
17/08/2006,1.3,1.3,1.3,1.3,0.705199,47750,6,5.25,86.7
18/08/2006,1.3,1.3,1.28,1.3,0.705199,26000,6,5.25,86.7
21/08/2006,1.32,1.32,1.32,1.32,0.716048,15280,6,5.25,86.7
22/08/2006,1.3,1.32,1.3,1.32,0.716048,40020,6,5.25,86.7
23/08/2006,1.32,1.35,1.31,1.35,0.732322,50250,6,5.25,86.7
24/08/2006,1.32,1.32,1.3,1.3,0.705199,15550,6,5.25,86.7
25/08/2006,1.3,1.31,1.3,1.31,0.710623,44270,6,5.25,86.7
28/08/2006,1.31,1.32,1.31,1.32,0.716048,28500,6,5.25,86.7
29/08/2006,1.32,1.32,1.3,1.3,0.705199,26750,6,5.25,86.7
30/08/2006,1.3,1.3,1.3,1.3,0.705199,37000,6,5.25,86.7
31/08/2006,1.3,1.32,1.3,1.3,0.705199,203250,6,5.25,86.7
1/09/2006,1.32,1.35,1.32,1.35,0.732322,115900,6,5.25,86.7
4/09/2006,1.35,1.39,1.35,1.39,0.75402,69500,6,5.25,86.7
5/09/2006,1.39,1.39,1.39,1.39,0.75402,9000,6,5.25,86.7
6/09/2006,1.39,1.4,1.39,1.4,0.759445,111620,6,5.25,86.7
7/09/2006,1.4,1.41,1.38,1.4,0.759445,122106,6,5.25,86.7
8/09/2006,1.4,1.4,1.4,1.4,0.759445,67142,6,5.25,86.7
11/09/2006,1.38,1.38,1.38,1.38,0.748596,35000,6,5.25,86.7
12/09/2006,1.4,1.4,1.4,1.4,0.759445,110000,6,5.25,86.7
13/09/2006,1.4,1.4,1.39,1.4,0.759445,266382,6,5.25,86.7
14/09/2006,1.4,1.4,1.4,1.4,0.759445,128632,6,5.25,86.7
15/09/2006,1.42,1.42,1.42,1.42,0.770294,18382,6,5.25,86.7
18/09/2006,1.42,1.43,1.41,1.43,0.775718,306518,6,5.25,86.7
19/09/2006,1.4,1.42,1.4,1.42,0.770294,35000,6,5.25,86.7
20/09/2006,1.41,1.42,1.41,1.42,0.770294,15250,6,5.25,86.7
21/09/2006,1.42,1.42,1.42,1.42,0.770294,0,6,5.25,86.7
22/09/2006,1.42,1.42,1.39,1.4,0.759445,13000,6,5.25,86.7
25/09/2006,1.42,1.42,1.4,1.4,0.759445,5700,6,5.25,86.7
26/09/2006,1.39,1.39,1.33,1.365,0.740459,116000,6,5.25,86.7
27/09/2006,1.37,1.38,1.365,1.37,0.743171,189000,6,5.25,86.7
28/09/2006,1.37,1.38,1.355,1.38,0.748596,133636,6,5.25,86.7
