Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
4/01/1999,1.997474,1.997474,1.937975,1.980474,1.662305,398918,5,5,67.8
5/01/1999,2.005974,2.005974,1.937975,1.937975,1.626633,440846,5,5,67.8
6/01/1999,1.958375,1.958375,1.912475,1.958375,1.643756,513474,5,5,67.8
7/01/1999,1.954975,1.954975,1.920975,1.954975,1.640902,199356,5,5,67.8
8/01/1999,2.014474,2.014474,1.954975,2.005974,1.683708,569056,5,5,67.8
11/01/1999,2.099473,2.099473,2.005974,2.073973,1.740783,830759,5,5,67.8
12/01/1999,2.141972,2.141972,2.073973,2.099473,1.762186,1193211,5,5,67.8
13/01/1999,2.099473,2.099473,2.039974,2.082473,1.747917,704143,5,5,67.8
14/01/1999,2.107973,2.107973,2.039974,2.101173,1.763613,466500,5,5,67.8
15/01/1999,2.124972,2.124972,2.048473,2.124972,1.783589,527586,5,5,67.8
18/01/1999,2.116473,2.116473,2.039974,2.039974,1.712245,1519788,5,5,67.8
19/01/1999,2.039974,2.039974,1.963474,2.005974,1.683708,788428,5,5,67.8
20/01/1999,2.056973,2.056973,1.971974,2.056973,1.726514,401589,5,5,67.8
21/01/1999,2.039974,2.039974,2.005974,2.039974,1.712245,551252,5,5,67.8
22/01/1999,2.082473,2.082473,1.997474,2.048473,1.719379,942547,5,5,67.8
25/01/1999,2.048473,2.048473,2.022974,2.048473,1.719379,616637,5,5,67.8
26/01/1999,2.048473,2.048473,2.048473,2.048473,1.719379,0,5,5,67.8
27/01/1999,2.082473,2.082473,2.039974,2.073973,1.740783,543081,5,5,67.8
28/01/1999,2.090973,2.090973,2.005974,2.090973,1.755052,729326,5,5,67.8
29/01/1999,2.175972,2.175972,2.116473,2.150472,1.804991,1002542,5,5,67.8
1/02/1999,2.056973,2.167472,2.056973,2.056973,1.726514,961634,5,5,67.8
2/02/1999,2.167472,2.167472,2.082473,2.104573,1.766467,824911,5,5,67.8
3/02/1999,2.124972,2.124972,2.099473,2.124972,1.783589,440144,5,5,67.8
4/02/1999,2.119023,2.119023,2.065473,2.065473,1.733648,570793,5,5,67.8
5/02/1999,2.082473,2.082473,2.022974,2.022974,1.697977,624195,5,5,67.8
8/02/1999,2.073973,2.073973,2.022974,2.039974,1.712245,230795,5,5,67.8
9/02/1999,2.099473,2.099473,2.065473,2.082473,1.747917,511947,5,5,67.8
10/02/1999,2.065473,2.065473,2.014474,2.056973,1.726514,724749,5,5,67.8
11/02/1999,2.082473,2.082473,2.039974,2.082473,1.747917,1018892,5,5,67.8
12/02/1999,2.099473,2.099473,2.082473,2.082473,1.747917,282635,5,5,67.8
15/02/1999,2.099473,2.099473,2.056973,2.065473,1.733648,344417,5,5,67.8
16/02/1999,2.082473,2.082473,1.996624,1.996624,1.67586,294586,5,5,67.8
17/02/1999,1.997474,1.997474,1.920975,1.937975,1.626633,333220,5,5,67.8
18/02/1999,1.954975,1.954975,1.912475,1.954975,1.640902,195823,5,5,67.8
19/02/1999,1.943075,1.943075,1.912475,1.920975,1.612364,664146,5,5,67.8
22/02/1999,1.980474,1.980474,1.920975,1.946475,1.633768,659120,5,5,67.8
23/02/1999,2.022974,2.022974,1.954975,2.014474,1.690842,1393988,5,5,67.8
24/02/1999,2.090973,2.090973,2.014474,2.048473,1.719379,1088190,5,5,67.8
25/02/1999,2.065473,2.065473,2.039974,2.065473,1.733648,446808,5,5,67.8
26/02/1999,2.065473,2.065473,2.039974,2.048473,1.719379,3068686,5,5,67.8
1/03/1999,2.065473,2.065473,2.022974,2.056973,1.726514,342134,5,5,67.8
2/03/1999,2.082473,2.082473,2.039974,2.082473,1.747917,753873,5,5,67.8
3/03/1999,2.099473,2.099473,2.039974,2.090973,1.755052,975978,5,5,67.8
4/03/1999,2.116473,2.116473,2.082473,2.116473,1.776454,384856,5,5,67.8
5/03/1999,2.244821,2.244821,2.133472,2.244821,1.884184,1501496,5,5,67.8
8/03/1999,2.30347,2.30347,2.235471,2.252471,1.890604,1290529,5,5,67.8
9/03/1999,2.29497,2.29497,2.252471,2.260971,1.897739,1308913,5,5,67.8
10/03/1999,2.29497,2.29497,2.252471,2.29497,1.926276,756604,5,5,67.8
11/03/1999,2.379969,2.379969,2.31027,2.371469,1.990485,1956839,5,5,67.8
12/03/1999,2.456468,2.456468,2.396969,2.422469,2.033292,3001248,5,5,67.8
15/03/1999,2.407169,2.407169,2.31197,2.32897,1.954814,2299609,5,5,67.8
16/03/1999,2.32047,2.32047,2.218471,2.31197,1.940545,1345477,5,5,67.8
17/03/1999,2.32897,2.32897,2.243971,2.32897,1.954814,1387787,5,5,67.8
