Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
16/09/2003,0.62,0.73,0.6,0.7,0.258042,1623648,4.75,1,79.1
17/09/2003,0.72,0.72,0.64,0.66,0.243297,1855857,4.75,1,79.1
18/09/2003,0.65,0.69,0.65,0.65,0.23961,1553142,4.75,1,79.1
19/09/2003,0.66,0.66,0.65,0.65,0.23961,526517,4.75,1,79.1
22/09/2003,0.67,0.68,0.66,0.66,0.243297,223030,4.75,1,79.1
23/09/2003,0.67,0.67,0.64,0.64,0.235924,265950,4.75,1,79.1
24/09/2003,0.63,0.63,0.6,0.6,0.221179,356138,4.75,1,79.1
25/09/2003,0.61,0.62,0.6,0.62,0.228552,143050,4.75,1,79.1
26/09/2003,0.63,0.63,0.6,0.63,0.232238,220385,4.75,1,79.1
29/09/2003,0.63,0.63,0.6,0.6,0.221179,131395,4.75,1,79.1
30/09/2003,0.61,0.61,0.61,0.61,0.224865,54756,4.75,1,79.1
1/10/2003,0.62,0.62,0.61,0.61,0.224865,118263,4.75,1,79.5
2/10/2003,0.62,0.63,0.6,0.6,0.221179,217489,4.75,1,79.5
3/10/2003,0.63,0.64,0.62,0.63,0.232238,74850,4.75,1,79.5
6/10/2003,0.65,0.66,0.64,0.66,0.243297,192900,4.75,1,79.5
7/10/2003,0.66,0.66,0.64,0.65,0.23961,606050,4.75,1,79.5
8/10/2003,0.65,0.67,0.63,0.65,0.23961,425060,4.75,1,79.5
9/10/2003,0.65,0.66,0.64,0.65,0.23961,250625,4.75,1,79.5
10/10/2003,0.65,0.65,0.63,0.63,0.232238,107184,4.75,1,79.5
13/10/2003,0.63,0.64,0.62,0.62,0.228552,1834819,4.75,1,79.5
14/10/2003,0.62,0.63,0.61,0.63,0.232238,264711,4.75,1,79.5
15/10/2003,0.63,0.64,0.63,0.63,0.232238,140404,4.75,1,79.5
16/10/2003,0.63,0.65,0.63,0.63,0.232238,136273,4.75,1,79.5
17/10/2003,0.63,0.64,0.62,0.62,0.228552,132912,4.75,1,79.5
20/10/2003,0.61,0.63,0.61,0.61,0.224865,49149,4.75,1,79.5
21/10/2003,0.61,0.64,0.61,0.61,0.224865,121989,4.75,1,79.5
22/10/2003,0.62,0.63,0.62,0.62,0.228552,65331,4.75,1,79.5
23/10/2003,0.62,0.64,0.62,0.64,0.235924,57291,4.75,1,79.5
24/10/2003,0.63,0.64,0.62,0.62,0.228552,66259,4.75,1,79.5
27/10/2003,0.64,0.64,0.61,0.61,0.224865,83438,4.75,1,79.5
28/10/2003,0.62,0.62,0.62,0.62,0.228552,22444,4.75,1,79.5
29/10/2003,0.62,0.63,0.61,0.61,0.224865,37166,4.75,1,79.5
