Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
20/08/2018,0.3,0.3,0.26,0.28,0.262887,14621347,1.5,2,113.5
21/08/2018,0.28,0.285,0.25,0.255,0.239415,2166061,1.5,2,113.5
22/08/2018,0.265,0.295,0.26,0.29,0.272276,6654300,1.5,2,113.5
23/08/2018,0.305,0.31,0.3,0.3,0.281665,3775078,1.5,2,113.5
24/08/2018,0.305,0.305,0.295,0.305,0.28636,3203045,1.5,2,113.5
27/08/2018,0.305,0.325,0.3,0.325,0.305137,3409526,1.5,2,113.5
28/08/2018,0.33,0.35,0.33,0.35,0.328609,6607357,1.5,2,113.5
29/08/2018,0.35,0.355,0.35,0.35,0.328609,4979401,1.5,2,113.5
30/08/2018,0.35,0.365,0.35,0.36,0.337998,6104643,1.5,2,113.5
31/08/2018,0.36,0.36,0.35,0.36,0.337998,4417823,1.5,2,113.5
3/09/2018,0.36,0.36,0.335,0.34,0.31922,2267697,1.5,2,113.5
4/09/2018,0.335,0.345,0.33,0.335,0.314526,1180484,1.5,2,113.5
5/09/2018,0.33,0.335,0.315,0.325,0.305137,2849753,1.5,2,113.5
6/09/2018,0.32,0.32,0.305,0.31,0.291054,2120214,1.5,2,113.5
7/09/2018,0.315,0.32,0.305,0.305,0.28636,339723,1.5,2,113.5
10/09/2018,0.305,0.31,0.3,0.305,0.28636,74128,1.5,2,113.5
11/09/2018,0.305,0.305,0.295,0.3,0.281665,104613,1.5,2,113.5
12/09/2018,0.305,0.305,0.29,0.29,0.272276,516469,1.5,2,113.5
13/09/2018,0.3,0.315,0.3,0.31,0.291054,2073687,1.5,2,113.5
14/09/2018,0.305,0.305,0.295,0.305,0.28636,110176,1.5,2,113.5
17/09/2018,0.305,0.31,0.3,0.31,0.291054,155607,1.5,2,113.5
18/09/2018,0.3,0.31,0.295,0.31,0.291054,369015,1.5,2,113.5
19/09/2018,0.3,0.34,0.295,0.31,0.291054,2389899,1.5,2,113.5
20/09/2018,0.32,0.335,0.31,0.315,0.295748,2630250,1.5,2,113.5
21/09/2018,0.32,0.325,0.315,0.315,0.295748,428568,1.5,2,113.5
24/09/2018,0.32,0.33,0.3,0.305,0.28636,888931,1.5,2,113.5
25/09/2018,0.31,0.31,0.3,0.305,0.28636,210545,1.5,2,113.5
26/09/2018,0.305,0.315,0.295,0.31,0.291054,98383,1.5,2.25,113.5
27/09/2018,0.3,0.31,0.28,0.3,0.281665,1813438,1.5,2.25,114.1
28/09/2018,0.3,0.33,0.3,0.325,0.305137,818343,1.5,2.25,114.1
1/10/2018,0.325,0.325,0.31,0.31,0.291054,47886,1.5,2.25,114.1
2/10/2018,0.31,0.315,0.3,0.3,0.281665,177743,1.5,2.25,114.1
3/10/2018,0.3,0.305,0.29,0.3,0.281665,593951,1.5,2.25,114.1
4/10/2018,0.3,0.31,0.295,0.31,0.291054,10728104,1.5,2.25,114.1
5/10/2018,0.3,0.3,0.29,0.3,0.281665,182053,1.5,2.25,114.1
8/10/2018,0.3,0.3,0.3,0.3,0.281665,438235,1.5,2.25,114.1
9/10/2018,0.3,0.31,0.29,0.3,0.281665,1312404,1.5,2.25,114.1
10/10/2018,0.3,0.31,0.3,0.31,0.291054,99285,1.5,2.25,114.1
11/10/2018,0.3,0.3,0.29,0.29,0.272276,202930,1.5,2.25,114.1
12/10/2018,0.29,0.295,0.28,0.295,0.276971,32079,1.5,2.25,114.1
15/10/2018,0.3,0.305,0.29,0.29,0.272276,454716,1.5,2.25,114.1
16/10/2018,0.29,0.29,0.29,0.29,0.272276,69574,1.5,2.25,114.1
17/10/2018,0.29,0.295,0.29,0.295,0.276971,127000,1.5,2.25,114.1
18/10/2018,0.29,0.29,0.29,0.29,0.272276,160182,1.5,2.25,114.1
19/10/2018,0.29,0.29,0.29,0.29,0.272276,310959,1.5,2.25,114.1
22/10/2018,0.29,0.29,0.29,0.29,0.272276,283782,1.5,2.25,114.1
23/10/2018,0.29,0.29,0.275,0.28,0.262887,689698,1.5,2.25,114.1
24/10/2018,0.28,0.28,0.265,0.27,0.253499,1066450,1.5,2.25,114.1
25/10/2018,0.265,0.28,0.265,0.275,0.258193,626943,1.5,2.25,114.1
26/10/2018,0.27,0.275,0.27,0.275,0.258193,788580,1.5,2.25,114.1
29/10/2018,0.275,0.275,0.27,0.27,0.253499,3953622,1.5,2.25,114.1
30/10/2018,0.265,0.27,0.25,0.265,0.248804,1293415,1.5,2.25,114.1
31/10/2018,0.27,0.28,0.26,0.275,0.258193,640285,1.5,2.25,114.1
1/11/2018,0.275,0.3,0.26,0.27,0.253499,1726009,1.5,2.25,114.1
2/11/2018,0.28,0.28,0.272,0.275,0.258193,181966,1.5,2.25,114.1
5/11/2018,0.28,0.285,0.275,0.275,0.258193,1444336,1.5,2.25,114.1
6/11/2018,0.27,0.29,0.265,0.29,0.272276,546481,1.5,2.25,114.1
7/11/2018,0.295,0.295,0.28,0.285,0.267582,191612,1.5,2.25,114.1
8/11/2018,0.29,0.29,0.285,0.285,0.267582,143339,1.5,2.25,114.1
9/11/2018,0.29,0.295,0.28,0.28,0.262887,1591603,1.5,2.25,114.1
12/11/2018,0.29,0.295,0.28,0.285,0.267582,862098,1.5,2.25,114.1
13/11/2018,0.275,0.28,0.27,0.27,0.253499,543450,1.5,2.25,114.1
14/11/2018,0.27,0.275,0.265,0.27,0.253499,507304,1.5,2.25,114.1
15/11/2018,0.265,0.27,0.265,0.265,0.248804,116399,1.5,2.25,114.1
16/11/2018,0.27,0.27,0.255,0.255,0.239415,219705,1.5,2.25,114.1
19/11/2018,0.265,0.265,0.25,0.25,0.234721,1055145,1.5,2.25,114.1
20/11/2018,0.26,0.26,0.26,0.26,0.24411,11428,1.5,2.25,114.1
21/11/2018,0.255,0.255,0.235,0.245,0.230026,361834,1.5,2.25,114.1
22/11/2018,0.245,0.25,0.245,0.25,0.234721,323071,1.5,2.25,114.1
23/11/2018,0.26,0.26,0.25,0.25,0.234721,88185,1.5,2.25,114.1
26/11/2018,0.25,0.25,0.24,0.24,0.225332,528196,1.5,2.25,114.1
27/11/2018,0.24,0.255,0.24,0.25,0.234721,886098,1.5,2.25,114.1
28/11/2018,0.245,0.255,0.245,0.255,0.239415,10181367,1.5,2.25,114.1
29/11/2018,0.255,0.265,0.255,0.265,0.248804,12465214,1.5,2.25,114.1
30/11/2018,0.265,0.27,0.26,0.26,0.24411,645276,1.5,2.25,114.1
3/12/2018,0.265,0.265,0.26,0.26,0.24411,254961,1.5,2.25,114.1
4/12/2018,0.27,0.28,0.26,0.265,0.248804,1458834,1.5,2.25,114.1
5/12/2018,0.26,0.265,0.255,0.2575,0.241763,266874,1.5,2.25,114.1
6/12/2018,0.26,0.26,0.247,0.25,0.234721,5651289,1.5,2.25,114.1
7/12/2018,0.25,0.26,0.25,0.25,0.234721,552086,1.5,2.25,114.1
10/12/2018,0.25,0.25,0.25,0.25,0.234721,30580,1.5,2.25,114.1
11/12/2018,0.25,0.25,0.25,0.25,0.234721,3000264,1.5,2.25,114.1
12/12/2018,0.25,0.25,0.25,0.25,0.234721,1,1.5,2.25,114.1
13/12/2018,0.25,0.25,0.23,0.235,0.220638,115729,1.5,2.25,114.1
14/12/2018,0.235,0.235,0.235,0.235,0.220638,74826,1.5,2.25,114.1
17/12/2018,0.24,0.24,0.23,0.23,0.215943,89776,1.5,2.25,114.1
18/12/2018,0.245,0.25,0.24,0.24,0.225332,658604,1.5,2.25,114.1
19/12/2018,0.24,0.24,0.235,0.24,0.225332,493889,1.5,2.5,114.1
20/12/2018,0.24,0.25,0.24,0.245,0.230026,206191,1.5,2.5,114.1
21/12/2018,0.245,0.245,0.245,0.245,0.230026,264391,1.5,2.5,114.1
24/12/2018,0.24,0.2425,0.23,0.24,0.225332,194500,1.5,2.5,114.1
27/12/2018,0.25,0.28,0.25,0.28,0.262887,126664,1.5,2.5,114.1
28/12/2018,0.26,0.27,0.26,0.27,0.253499,67192,1.5,2.5,114.1
31/12/2018,0.27,0.27,0.265,0.265,0.248804,631850,1.5,2.5,114.1
2/01/2019,0.27,0.27,0.24,0.265,0.248804,223745,1.5,2.5,114.1
3/01/2019,0.245,0.25,0.245,0.25,0.234721,94714,1.5,2.5,114.1
4/01/2019,0.25,0.25,0.23,0.25,0.234721,91947,1.5,2.5,114.1
7/01/2019,0.25,0.25,0.225,0.225,0.211249,337679,1.5,2.5,114.1
8/01/2019,0.225,0.23,0.22,0.23,0.215943,315618,1.5,2.5,114.1
9/01/2019,0.225,0.225,0.225,0.225,0.211249,132579,1.5,2.5,114.1
10/01/2019,0.225,0.24,0.225,0.24,0.225332,306209,1.5,2.5,114.1
11/01/2019,0.24,0.245,0.24,0.24,0.225332,756729,1.5,2.5,114.1
14/01/2019,0.24,0.24,0.23,0.235,0.220638,864532,1.5,2.5,114.1
15/01/2019,0.235,0.25,0.23,0.245,0.230026,736097,1.5,2.5,114.1
16/01/2019,0.255,0.26,0.25,0.26,0.24411,1946773,1.5,2.5,114.1
17/01/2019,0.26,0.26,0.25,0.25,0.234721,819805,1.5,2.5,114.1
18/01/2019,0.255,0.26,0.25,0.26,0.24411,476184,1.5,2.5,114.1
21/01/2019,0.26,0.265,0.255,0.255,0.239415,198090,1.5,2.5,114.1
