Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
18/05/2015,2.13,2.22,2.01,2.05,1.750502,160185286,2,0.25,107.5
19/05/2015,2.17,2.34,2.16,2.33,1.989595,192730310,2,0.25,107.5
20/05/2015,2.35,2.37,2.25,2.36,2.015213,59085150,2,0.25,107.5
21/05/2015,2.35,2.45,2.34,2.37,2.023751,54016569,2,0.25,107.5
22/05/2015,2.36,2.39,2.3,2.31,1.972517,38646976,2,0.25,107.5
25/05/2015,2.3,2.345,2.29,2.32,1.981056,23741251,2,0.25,107.5
26/05/2015,2.32,2.33,2.3,2.3,1.963979,24299724,2,0.25,107.5
27/05/2015,2.26,2.28,2.24,2.25,1.921283,52014234,2,0.25,107.5
28/05/2015,2.2,2.21,2.17,2.18,1.86151,61783716,2,0.25,107.5
29/05/2015,2.13,2.2,2.13,2.19,1.870049,69019494,2,0.25,107.5
1/06/2015,2.16,2.18,2.15,2.16,1.844432,25449622,2,0.25,107.5
2/06/2015,2.17,2.19,2.14,2.14,1.827354,37804164,2,0.25,107.5
3/06/2015,2.15,2.17,2.14,2.15,1.835893,54544136,2,0.25,107.5
4/06/2015,2.14,2.17,2.14,2.15,1.835893,30359403,2,0.25,107.5
5/06/2015,2.14,2.15,2.12,2.14,1.827354,23057508,2,0.25,107.5
9/06/2015,2.09,2.11,2.08,2.09,1.784658,31269446,2,0.25,107.5
10/06/2015,2.09,2.12,2.08,2.1,1.793198,27370699,2,0.25,107.5
11/06/2015,2.12,2.14,2.11,2.13,1.818815,32285710,2,0.25,107.5
12/06/2015,2.1,2.11,2.1,2.1,1.793198,22504161,2,0.25,107.5
15/06/2015,2.07,2.1,2.07,2.08,1.776119,20221469,2,0.25,107.5
16/06/2015,2.06,2.09,2.06,2.08,1.776119,26685156,2,0.25,107.5
17/06/2015,2.07,2.08,2.06,2.08,1.776119,24826959,2,0.25,107.5
18/06/2015,2.05,2.065,2.02,2.03,1.733424,36865389,2,0.25,107.5
19/06/2015,2.01,2.02,1.96,1.96,1.673651,67093525,2,0.25,107.5
22/06/2015,1.92,1.925,1.87,1.89,1.613878,40390654,2,0.25,107.5
23/06/2015,1.85,1.905,1.85,1.895,1.618147,34295403,2,0.25,107.5
24/06/2015,1.9,1.975,1.9,1.94,1.656573,40391955,2,0.25,107.5
25/06/2015,1.93,1.9425,1.92,1.93,1.648034,32331027,2,0.25,107.5
26/06/2015,1.89,1.895,1.825,1.825,1.558374,35859955,2,0.25,107.5
29/06/2015,1.8,1.8,1.73,1.74,1.485792,32761144,2,0.25,107.5
30/06/2015,1.725,1.8,1.725,1.79,1.528487,44581715,2,0.25,107.5
1/07/2015,1.78,1.81,1.77,1.805,1.541296,28490794,2,0.25,108
2/07/2015,1.805,1.84,1.795,1.825,1.558374,26209685,2,0.25,108
3/07/2015,1.805,1.81,1.775,1.79,1.528487,19700073,2,0.25,108
6/07/2015,1.77,1.79,1.755,1.78,1.519949,15999339,2,0.25,108
7/07/2015,1.78,1.857,1.77,1.815,1.549835,46223152,2,0.25,108
8/07/2015,1.755,1.7825,1.725,1.725,1.472984,55452712,2,0.25,108
9/07/2015,1.7,1.79,1.69,1.755,1.498601,48666592,2,0.25,108
10/07/2015,1.79,1.82,1.775,1.78,1.519949,19376893,2,0.25,108
13/07/2015,1.75,1.76,1.705,1.705,1.455906,28350873,2,0.25,108
14/07/2015,1.735,1.76,1.71,1.76,1.50287,40328002,2,0.25,108
15/07/2015,1.74,1.805,1.74,1.77,1.511409,41888394,2,0.25,108
16/07/2015,1.76,1.795,1.755,1.775,1.515679,23295299,2,0.25,108
17/07/2015,1.765,1.835,1.76,1.825,1.558374,36535227,2,0.25,108
20/07/2015,1.82,1.84,1.8,1.835,1.566913,16285543,2,0.25,108
21/07/2015,1.81,1.835,1.775,1.825,1.558374,29892686,2,0.25,108
22/07/2015,1.79,1.825,1.772,1.785,1.524218,26748978,2,0.25,108
23/07/2015,1.74,1.745,1.72,1.725,1.472984,28168542,2,0.25,108
24/07/2015,1.75,1.79,1.75,1.775,1.515679,18145961,2,0.25,108
27/07/2015,1.75,1.765,1.74,1.76,1.50287,9270868,2,0.25,108
28/07/2015,1.74,1.7675,1.74,1.74,1.485792,23140067,2,0.25,108
29/07/2015,1.765,1.795,1.755,1.78,1.519949,19187878,2,0.25,108
30/07/2015,1.79,1.825,1.79,1.8,1.537026,16638964,2,0.25,108
31/07/2015,1.785,1.795,1.767,1.785,1.524218,20857150,2,0.25,108
3/08/2015,1.745,1.745,1.72,1.725,1.472984,15079773,2,0.25,108
4/08/2015,1.7,1.725,1.69,1.715,1.464445,27496130,2,0.25,108
5/08/2015,1.705,1.725,1.7,1.72,1.468714,26480265,2,0.25,108
6/08/2015,1.74,1.755,1.73,1.735,1.481523,13492594,2,0.25,108
