Date,Open,High,Low,Close,Adj Close,Volume,RBA,FED,CPI
4/01/1999,2.61,2.61,2.5,2.58,1.151844,99625,5,5,67.8
5/01/1999,2.46,2.6,2.46,2.46,1.09827,431389,5,5,67.8
6/01/1999,2.6,2.6,2.6,2.6,1.160773,25815,5,5,67.8
7/01/1999,2.73,2.73,2.61,2.73,1.218812,239017,5,5,67.8
8/01/1999,2.75,2.75,2.64,2.74,1.223276,93375,5,5,67.8
11/01/1999,2.9,2.9,2.75,2.85,1.272386,42425,5,5,67.8
12/01/1999,2.9,2.9,2.82,2.85,1.272386,12850,5,5,67.8
13/01/1999,2.9,2.9,2.79,2.79,1.245599,65415,5,5,67.8
14/01/1999,2.79,2.79,2.67,2.69,1.200954,31515,5,5,67.8
15/01/1999,2.66,2.66,2.6,2.65,1.183096,92090,5,5,67.8
18/01/1999,2.68,2.68,2.65,2.68,1.196489,64310,5,5,67.8
19/01/1999,2.68,2.68,2.62,2.65,1.183096,27567,5,5,67.8
20/01/1999,2.65,2.65,2.6,2.6,1.160773,125997,5,5,67.8
21/01/1999,2.895,2.895,2.6,2.895,1.292476,103253,5,5,67.8
22/01/1999,3.05,3.05,2.95,2.95,1.317031,225669,5,5,67.8
25/01/1999,2.98,2.98,2.91,2.95,1.317031,81556,5,5,67.8
26/01/1999,2.95,2.95,2.95,2.95,1.317031,0,5,5,67.8
27/01/1999,3.05,3.05,2.96,3.05,1.361676,317162,5,5,67.8
28/01/1999,3.15,3.15,3.01,3.15,1.406321,105214,5,5,67.8
29/01/1999,3.22,3.22,3.15,3.18,1.419715,123070,5,5,67.8
1/02/1999,3.2,3.2,3.15,3.2,1.428644,86818,5,5,67.8
2/02/1999,3.25,3.25,3.2,3.2,1.428644,79455,5,5,67.8
3/02/1999,3.2,3.2,3.15,3.2,1.428644,45776,5,5,67.8
4/02/1999,3.26,3.26,3.17,3.25,1.450966,59519,5,5,67.8
5/02/1999,3.31,3.31,3.23,3.24,1.446502,105202,5,5,67.8
8/02/1999,3.3,3.3,3.21,3.28,1.46436,241772,5,5,67.8
9/02/1999,3.35,3.35,3.26,3.35,1.495612,178170,5,5,67.8
10/02/1999,3.35,3.35,3.31,3.31,1.477753,200680,5,5,67.8
11/02/1999,3.34,3.34,3.31,3.32,1.482218,374559,5,5,67.8
12/02/1999,3.4,3.4,3.34,3.34,1.491147,86789,5,5,67.8
15/02/1999,3.343,3.343,3.3,3.33,1.486682,108778,5,5,67.8
16/02/1999,3.45,3.45,3.35,3.4,1.517934,189549,5,5,67.8
17/02/1999,3.6,3.6,3.45,3.6,1.607224,274642,5,5,67.8
18/02/1999,3.75,3.75,3.65,3.75,1.674192,107912,5,5,67.8
19/02/1999,3.95,3.95,3.83,3.9,1.74116,218216,5,5,67.8
22/02/1999,4,4,3.91,4,1.785804,153431,5,5,67.8
23/02/1999,4.15,4.15,3.99,4.05,1.808127,152903,5,5,67.8
24/02/1999,4.15,4.15,4.05,4.1,1.83045,88122,5,5,67.8
25/02/1999,4.15,4.15,4.06,4.15,1.852773,1027692,5,5,67.8
26/02/1999,4.25,4.25,4.2,4.2,1.888749,584308,5,5,67.8
1/03/1999,4.141,4.141,4,4,1.798808,29733,5,5,67.8
2/03/1999,4.1,4.1,4.05,4.05,1.821293,359427,5,5,67.8
3/03/1999,4.15,4.15,4.05,4.05,1.821293,276902,5,5,67.8
4/03/1999,4.05,4.05,3.95,4,1.798808,119279,5,5,67.8
5/03/1999,4.05,4.05,3.95,4.05,1.821293,24344,5,5,67.8
8/03/1999,4.08,4.08,4.02,4.08,1.834784,45967,5,5,67.8
9/03/1999,4.12,4.12,4.05,4.1,1.843778,401135,5,5,67.8
10/03/1999,4.15,4.15,4.1,4.1,1.843778,152600,5,5,67.8
11/03/1999,4.15,4.15,4.1,4.12,1.852773,128959,5,5,67.8
12/03/1999,4.15,4.15,4.12,4.14,1.861766,158146,5,5,67.8
15/03/1999,4.2,4.2,4.15,4.18,1.879755,58887,5,5,67.8
16/03/1999,4.2,4.2,4.16,4.2,1.888749,70714,5,5,67.8
17/03/1999,4.2,4.2,4.19,4.2,1.888749,61425,5,5,67.8
18/03/1999,4.2,4.2,4.2,4.2,1.888749,2400,5,5,67.8
19/03/1999,4.26,4.26,4.18,4.24,1.906736,113395,5,5,67.8
22/03/1999,4.27,4.27,4.2,4.251,1.911683,46000,5,5,67.8
23/03/1999,4.29,4.29,4.25,4.26,1.91573,22312,5,5,67.8
24/03/1999,4.273,4.273,4.12,4.273,1.921577,211714,5,5,67.8
25/03/1999,4.3,4.3,4.2,4.3,1.933719,50947,5,5,67.8
26/03/1999,4.42,4.42,4.3,4.3,1.933719,35028,5,5,67.8
29/03/1999,4.39,4.39,4.25,4.35,1.956204,33535,5,5,67.8
30/03/1999,4.35,4.35,4.29,4.3,1.933719,175186,5,5,67.8
31/03/1999,4.3,4.3,4.15,4.3,1.933719,80223,5,5,67.8
1/04/1999,4.3,4.3,4.25,4.25,1.911233,5888,5,5,68.1
2/04/1999,4.25,4.25,4.25,4.25,1.911233,0,5,5,68.1
5/04/1999,4.25,4.25,4.25,4.25,1.911233,0,5,5,68.1
6/04/1999,4.25,4.25,4.07,4.15,1.866264,21664,5,5,68.1
7/04/1999,4.19,4.19,4.1,4.15,1.866264,11230,5,5,68.1
8/04/1999,4.15,4.15,4.12,4.15,1.866264,8070,5,5,68.1
9/04/1999,4.15,4.15,4.1,4.13,1.857269,47495,5,5,68.1
12/04/1999,4.14,4.14,4.1,4.14,1.861766,35840,5,5,68.1
13/04/1999,4.17,4.17,4.13,4.16,1.870761,30395,5,5,68.1
14/04/1999,4.26,4.26,4.16,4.26,1.91573,218135,5,5,68.1
15/04/1999,4.3,4.3,4.26,4.29,1.929221,90312,5,5,68.1
16/04/1999,4.28,4.28,4.26,4.28,1.924725,240280,5,5,68.1
19/04/1999,4.28,4.28,4.24,4.28,1.924725,31560,5,5,68.1
20/04/1999,4.22,4.22,4.2,4.21,1.893245,74248,5,5,68.1
21/04/1999,4.3,4.3,4.15,4.29,1.929221,214566,5,5,68.1
22/04/1999,4.45,4.45,4.3,4.4,1.978689,81503,5,5,68.1
23/04/1999,4.45,4.45,4.32,4.385,1.971944,74318,5,5,68.1
26/04/1999,4.38,4.38,4.34,4.34,1.951707,11690,5,5,68.1
